Address,ID,Assigned To,Provider Name (Linked),Technology,Service Type,City,State,Plans,Requires Follow-Up,Plan 1 - Plan Name,Plan 1 - Monthly Price,Plan 1 - Intro Price,Plan 1 - Intro Period (months),Plan 1 - Regular Price After Intro,Plan 1 - Other Discounts Available (Total Est.),Plan 1 - Other Discounts Available (Notes),Plan 1 - Installation Fees,Plan 1 - Taxes & Fees (Total Est.),Plan 1 - Taxes & Fees Breakdown,Plan 1 - Download Speed (Mbps),Plan 1 - Upload Speed (Mbps),Plan 1 - Data Cap (GB),Plan 1 - Contract Required? (Y/N),Plan 1 - Contract Length (months),Plan 1 - Early Termination Fee,Plan 1 - Contract Key Terms,Plan 1 - Termination Rights,Plan 1 - Low-Income Plan?,Plan 1 - ACP/EBB Eligible?,Plan 1 - BCL Source,Plan 1 - Screenshot,Plan 1 - Phone Recording,Plan 1 - T&C Attachment,Plan 1 - T&C AI Extracted Notes,Plan 1 - Comments,Plan 2 - Plan Name,Plan 2 - Monthly Price,Plan 2 - Intro Price,Plan 2 - Intro Period (months),Plan 2 - Regular Price After Intro,Plan 2 - Other Discounts Available (Total Est.),Plan 2 - Other Discounts Available (Notes),Plan 2 - Installation Fees,Plan 2 - Taxes & Fees (Total Est.),Plan 2 - Taxes & Fees Breakdown,Plan 2 - Download Speed (Mbps),Plan 2 - Upload Speed (Mbps),Plan 2 - Data Cap (GB),Plan 2 - Contract Required? (Y/N),Plan 2 - Contract Length (months),Plan 2 - Early Termination Fee,Plan 2 - Contract Key Terms,Plan 2 - Termination Rights,Plan 2 - Low-Income Plan,Plan 2 - Low-Income Monthly Price,Plan 2 - ACP/EBB Eligible?,Plan 2 - BCL Source,Plan 2 - Screenshot,Plan 2 - Phone Recording,Plan 2 - T&C Attachment,Plan 2 - T&C AI Extracted Notes,Plan 2 - Comments,Plan 3 - Plan Name,Plan 3 - Monthly Price,Plan 3 - Intro Price,Plan 3 - Intro Period (months),Plan 3 - Regular Price After Intro,Plan 3 - Other Discounts Available (Total Est.),Plan 3 - Other Discounts Available (Notes),Plan 3 - Installation Fees,Plan 3 - Taxes & Fees (Total Est.),Plan 3 - Taxes & Fees Breakdown,Plan 3 - Download Speed (Mbps),Plan 3 - Upload Speed (Mbps),Plan 3 - Data Cap (GB),Plan 3 - Contract Required? (Y/N),Plan 3 - Contract Length (months),Plan 3 - Early Termination Fee,Plan 3 - Contract Key Terms,Plan 3 - Termination Rights,Plan 3 - Low-Income Plan?,Plan 3 - ACP/EBB Eligible?,Plan 3 - BCL Source,Plan 3 - Screenshot,Plan 3 - Phone Recording,Plan 3 - T&C Attachment,Plan 3 - T&C AI Extracted Notes,Plan 3 - Comments,Plans 2,Plans 3
231 S 3RD ST,110,Kayley,AT&T,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,AT&T Internet Air for Business Standard,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101 E CRAIG RD,111,Kayley,AT&T,Licensed Fixed Wireless,Commercial,NORTH LAS VEGAS,NV,AT&T Internet Air for Business Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630 S RANCHO DR,112,Kayley,AT&T,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,AT&T Internet Air for Business Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320 POTOSI ST,114,Miles,BAI Connect,Fiber to the Premises,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901 LAS VEGAS BLVD S,113,Miles,BAI Connect,Fiber to the Premises,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6350 S DURANGO DR,115,Eddie Joe,BAI Connect,Fiber to the Premises,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302 E CARSON AVE,117,Kayley,Cogent Communication,Fiber to the Premises,Commercial,LAS VEGAS,NV,Cogent Communications - Plan TBD,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5225 W CAPOVILLA AVE,118,Kayley,Cogent Communication,Fiber to the Premises,Commercial,LAS VEGAS,NV,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110 PALMS AIRPORT DR,116,Kayley,Cogent Communication,Fiber to the Premises,Commercial,LAS VEGAS,NV,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4627 CAMERON ST,122,Kayley,Cox Communications,Fiber to the Premises,Commercial,LAS VEGAS,NV,"Business Internet 300,Business Internet 500,Business Internet 1Gbps,Business Internet 2Gbps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3250 W ALI BABA LN,120,Kayley,Cox Communications,Fiber to the Premises,Commercial,LAS VEGAS,NV,"Business Internet 300,Business Internet 500,Business Internet 1Gbps,Business Internet 2Gbps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4440 E WASHINGTON AVE,121,Kayley,Cox Communications,Fiber to the Premises,Commercial,LAS VEGAS,NV,"Business Internet 300,Business Internet 500,Business Internet 1Gbps,Business Internet 2Gbps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8480 S EASTERN AVE,124,Kayley,Cox Communications,Cable,Commercial,LAS VEGAS,NV,"Business Internet 300,Business Internet 500,Business Internet 1Gbps,Business Internet 2Gbps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6611 SCHUSTER ST,123,Kayley,Cox Communications,Cable,Commercial,LAS VEGAS,NV,"Business Internet 300,Business Internet 500,Business Internet 1Gbps,Business Internet 2Gbps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450 CENTER CROSSING RD,119,Eddie Joe,Cox Communications,Cable,Commercial,LAS VEGAS,NV,Business Internet 500,,Business Internet 500,$105.00,,,$105.00,$65.00,"$55 off for Bundling with phone service, $10 off for paperless billing",$99.00,,"Varies by location, not available",586,111,,Yes,12,$0.00,12 month minimum contract commitment,Early termination fees may apply if canceled before 12-month term,N/A - Commercial Service,N/A - Commercial Service,ISP Website,Screenshot 2026-04-29 at 10.28.47 AM.png (https://v5.airtableusercontent.com/v3/u/54/54/1781121600000/upiWhKC5xO-cpfNKp6zN1A/1NntpvJVDDu96jeSmg7vds1mL8swOCsWJuXpNW6RTC33dVrA_VL_qC79lsTShH_rUN7RnjfD2n_ZV_LKCqcIKjDVh9IpW8ehIlT0CtVjwHZjtgBX9h3lYt1D_qkfXRh-EIxMcWxxzxS1soKJI4jB1R5V7zmIrcNMHkt7LiGfYqphyxeWI993u_QLW1oOZY_1/SPtcD3SDdSe8-77R0RGB_Uke9mbYB82BOiVSWxTfAEY),,Screenshot 2026-04-29 at 10.37.14 AM.png (https://v5.airtableusercontent.com/v3/u/54/54/1781121600000/js4U2S-7vlVbsPMe1kSVtQ/xgdxNApsL7os14_0iA0ZxS5V8OPa5QdKNw2bAoTDGzs91xe0xbVHGgBcfod11Z6fhMEdsW4jnw7rQv-7yf-CWAxDL8Nx_BtVFvIhiqqAoiJqGy2M9V_LblYCOg3DwNCXLaOqT4bsyFn7u96HpSD1F4mJZDUXi20YiQALMDbpMwfTNmB9rwX5tpaZ59CO44sM/Gl9GB0jSWIiUf0WFcVaZnQRx6VAmYt48A7bTZjwrqy8),Cox_Terms_Review.docx (https://v5.airtableusercontent.com/v3/u/54/54/1781121600000/eDq3y3NDdfT0ROsJwyHggA/E2sHnpf_WU_85k7VkGFkXF4JfoG7Q2EXciqYX8q6x3H5bR5IABZEKtMRvdLlsuzFzWMzwPR57RtEtYylBh-MM8LT7rRKlp5OniUtX2nGT3U3O9ANMcf7R51mhSEUHGKE7Tco5FSwcS5D5I4oIojw2WTu2ssKs6pBh2--V904xXQ/g5E5Da8P0_hxo8eIrwwVIZ1c4HOmK8_WMPKSTyJu5BI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000 N MARTIN L KING BLVD,125,Eddie Joe,EarthLink Business,Unlicensed Fixed Wireless,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5041 W DIABLO DR,128,Kayley,GeoLinks,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,"Geolinks 100M/100M,Geolinks 500M/200M,Geolinks 1000M/300M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121 INDUSTRIAL PARK RD,126,Kayley,GeoLinks,Licensed Fixed Wireless,Commercial,HENDERSON,NV,"Geolinks 100M/100M,Geolinks 500M/200M,Geolinks 1000M/300M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4627 CAMERON ST,127,Kayley,GeoLinks,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,"Geolinks 100M/100M,Geolinks 500M/200M,Geolinks 1000M/300M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4471 DEAN MARTIN DR,129,Miles,Hotwire Communications,Fiber to the Premises,Commercial,LAS VEGAS,NV,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6634 ULLOM DR,130,Miles,Hotwire Communications,Fiber to the Premises,Commercial,LAS VEGAS,NV,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7295 S RAINBOW BLVD,131,Miles,NetFortris,Fiber to the Premises,Commercial,LAS VEGAS,NV,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651 S CASINO DR,132,Miles,Optimum,Cable,Commercial,LAUGHLIN,NV,"Optimum - 300,Optimum  - 500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300 S CASINO DR,133,Miles,Optimum,Cable,Commercial,LAUGHLIN,NV,"Optimum - 300,Optimum  - 500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311 S CASINO DR,134,Miles,Optimum,Cable,Commercial,LAUGHLIN,NV,"Optimum - 300,Optimum  - 500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2920 N GREEN VALLEY PKWY BLDG 4,135,Kayley,Peerless Network,Other,Commercial,HENDERSON,NV,Peerless Network Plan - TBD,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775 S MARYLAND PKWY,138,Kayley,Stimulus Technologies,Unlicensed Fixed Wireless,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601 N GREEN VALLEY PKWY,137,Kayley,Stimulus Technologies,Unlicensed Fixed Wireless,Commercial,HENDERSON,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101 E CRAIG RD,136,Eddie Joe,Stimulus Technologies,Unlicensed Fixed Wireless,Commercial,NORTH LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775 S MARYLAND PKWY,141,Miles,T-Mobile,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,"T Mobile Away 200GB,T Mobile Away Unlimited,T Mobile Home Internet Backup,T Mobile Home Internet Lite 100 GB,T Mobile Home Internet Lite 150 GB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645 W CHEYENNE AVE,139,Miles,T-Mobile,Licensed Fixed Wireless,Commercial,NORTH LAS VEGAS,NV,"T Mobile Small Business Growth,T Mobile Business Advanced",checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975 WHITE DR,140,Eddie Joe,T-Mobile,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900 W OQUENDO RD,142,Miles,TPx Communications,Copper,Commercial,LAS VEGAS,NV,Tpx Communications,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is this an internet service provider? I don't think so. It looks like a managed IT services company. ,,
7440 W CHEYENNE AVE,144,Miles,TPx Communications,Copper,Commercial,LAS VEGAS,NV,Tpx Communications,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is this an internet service provider? I don't think so. It looks like a managed IT services company. ,,
5041 W DIABLO DR,143,Miles,TPx Communications,Copper,Commercial,LAS VEGAS,NV,Tpx Communications,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is this an internet service provider? I don't think so. It looks like a managed IT services company. ,,
1 AEROJET WAY,97,Eddie Joe,Utah Telecommunication Open Infrastructure Agency,Fiber to the Premises,Commercial,NORTH LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655 N MOHICAN ST,146,Miles,Valley Communications Association Inc,Unlicensed Fixed Wireless,Commercial,SANDY VALLEY,NV,"Valley Communications Association Basic,Valley Communications Association Premium,Valley Communications Association Basic (Outside service area)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85 W PEARL AVE,147,Miles,Valley Communications Association Inc,Unlicensed Fixed Wireless,Commercial,SANDY VALLEY,NV,"Valley Communications Association Basic,Valley Communications Association Premium,Valley Communications Association Basic (Outside service area)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846 MERCURY AVE,145,Miles,Valley Communications Association Inc,Unlicensed Fixed Wireless,Commercial,JEAN,NV,"Valley Communications Association Basic,Valley Communications Association Premium,Valley Communications Association Basic (Outside service area)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4120 W WINDMILL LN,148,Kayley,Verizon,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,"Verizon Business LTE Business Internet 25 Mbps,Verizon Business LTE Business Internet 50 Mbps,Verizon Business Backup and Flexible Use Internet 3GB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8480 S EASTERN AVE,149,Kayley,Verizon,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,"Verizon Business LTE Business Internet 25 Mbps,Verizon Business LTE Business Internet 50 Mbps,Verizon Business Backup and Flexible Use Internet 3GB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9435 W RUSSELL RD,150,Eddie Joe,Verizon,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7295 S RAINBOW BLVD,152,Kayley,Viasat Inc,Geostationary Satellite,Commercial,LAS VEGAS,NV,"Viasat Business Choice 100 Mbps / Unlimited,Viasat Business Choice 100 Mbps / 300 GB,Viasat Business Backup Choice 50 Mbps/50 GB,Viasat Business Added Choice 100 Mbps / Unlimited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7440 W CHEYENNE AVE,153,Kayley,Viasat Inc,Geostationary Satellite,Commercial,LAS VEGAS,NV,"Viasat Business Choice 100 Mbps / Unlimited,Viasat Business Choice 100 Mbps / 300 GB,Viasat Business Backup Choice 50 Mbps/50 GB,Viasat Business Added Choice 100 Mbps / Unlimited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3955 W SUNSET RD,151,Kayley,Viasat Inc,Geostationary Satellite,Commercial,LAS VEGAS,NV,"Viasat Business Choice 100 Mbps / Unlimited,Viasat Business Choice 100 Mbps / 300 GB,Viasat Business Backup Choice 50 Mbps/50 GB,Viasat Business Added Choice 100 Mbps / Unlimited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3135 S MONTE CRISTO WAY,155,Miles,WeLink Communications Inc,Unlicensed Fixed Wireless,Commercial,LAS VEGAS,NV,"WeLink Fast,WeLink Faster,WeLink Fastest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775 S MARYLAND PKWY,156,Miles,WeLink Communications Inc,Unlicensed Fixed Wireless,Commercial,LAS VEGAS,NV,"WeLink Fast,WeLink Faster,WeLink Fastest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This location already has service for this provider,,
185 E FORD AVE,154,Miles,WeLink Communications Inc,Unlicensed Fixed Wireless,Commercial,LAS VEGAS,NV,"WeLink Fast,WeLink Faster,WeLink Fastest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110 MARY CREST RD,157,Kayley,Xfinity,Fiber to the Premises,Commercial,HENDERSON,NV,No Service Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2970 N LAMB BLVD,158,Kayley,Xfinity,Fiber to the Premises,Commercial,LAS VEGAS,NV,No Service Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625 E PAMALYN AVE,159,Kayley,Xfinity,Fiber to the Premises,Commercial,LAS VEGAS,NV,No Service Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 FOURTH ST,162,Miles,ZAYO GROUP LLC,Copper,Commercial,HENDERSON,NV,,checked,https://www.zayo.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3216 LAS VEGAS BLVD S,160,Miles,ZAYO GROUP LLC,Copper,Commercial,LAS VEGAS,NV,,checked,https://www.zayo.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3753 HOWARD HUGHES PKWY,161,Miles,ZAYO GROUP LLC,Fiber to the Premises,Commercial,LAS VEGAS,NV,,checked,https://www.zayo.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 S DECATUR BLVD,163,Miles,ZAYO GROUP LLC,Copper,Commercial,LAS VEGAS,NV,,checked,https://www.zayo.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7251 AMIGO ST,165,Miles,ZAYO GROUP LLC,Fiber to the Premises,Commercial,LAS VEGAS,NV,,checked,https://www.zayo.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601 N GREEN VALLEY PKWY,164,Miles,ZAYO GROUP LLC,Fiber to the Premises,Commercial,HENDERSON,NV,,checked,https://www.zayo.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,